datetime,date,hour,currency_name,value
2022-04-30 23:01:33.165,2022-04-30,23,bitcoin,38347.12847586776
2022-05-01 00:00:09.214,2022-05-01,0,bitcoin,37820.61176529208
2022-05-01 01:06:21.326,2022-05-01,1,bitcoin,37777.44503549844
2022-05-01 02:02:33.540,2022-05-01,2,bitcoin,38061.82276837522
2022-05-01 03:02:41.223,2022-05-01,3,bitcoin,37918.94459725148
2022-05-01 04:04:10.998,2022-05-01,4,bitcoin,38127.54192897351
2022-05-01 05:01:57.580,2022-05-01,5,bitcoin,38001.60537502112
2022-05-01 06:01:47.266,2022-05-01,6,bitcoin,38127.21756165958
2022-05-01 07:01:49.528,2022-05-01,7,bitcoin,38024.89008331011
2022-05-01 08:02:58.138,2022-05-01,8,bitcoin,38021.94735702205
2022-05-01 09:00:24.369,2022-05-01,9,bitcoin,38091.53506074953
2022-05-01 10:03:39.193,2022-05-01,10,bitcoin,38047.05529279558
2022-05-01 11:02:37.631,2022-05-01,11,bitcoin,38099.25381160346
2022-05-01 12:01:51.662,2022-05-01,12,bitcoin,38005.11480055187
2022-05-01 13:02:10.510,2022-05-01,13,bitcoin,38008.31585181788
2022-05-01 14:03:43.155,2022-05-01,14,bitcoin,37984.37756078629
2022-05-01 15:00:35.743,2022-05-01,15,bitcoin,38016.684098777376
2022-05-01 16:03:20.175,2022-05-01,16,bitcoin,38500.332512332505
2022-05-01 17:02:00.450,2022-05-01,17,bitcoin,38582.232256149924
2022-05-01 18:01:59.400,2022-05-01,18,bitcoin,38480.33771078858
2022-05-01 19:02:32.420,2022-05-01,19,bitcoin,38023.67173229057
2022-05-01 20:02:29.742,2022-05-01,20,bitcoin,37926.49600002816
2022-05-01 21:01:37.630,2022-05-01,21,bitcoin,38151.89137559817
2022-05-01 22:02:00.168,2022-05-01,22,bitcoin,38400.10645493122
2022-05-01 23:02:51.980,2022-05-01,23,bitcoin,38370.12871980559
2022-05-02 00:01:07.427,2022-05-02,0,bitcoin,38537.65476669535
2022-05-02 01:02:38.241,2022-05-02,1,bitcoin,38717.19194872597
2022-05-02 02:03:17.251,2022-05-02,2,bitcoin,38597.61440929749
2022-05-02 03:02:41.072,2022-05-02,3,bitcoin,38670.44488003542
2022-05-02 04:03:37.725,2022-05-02,4,bitcoin,38745.456909762404
2022-05-02 05:03:03.762,2022-05-02,5,bitcoin,38978.65627473045
2022-05-02 06:02:36.407,2022-05-02,6,bitcoin,39036.508351319055
2022-05-02 07:01:42.322,2022-05-02,7,bitcoin,39009.91435905212
2022-05-02 08:02:18.443,2022-05-02,8,bitcoin,39002.958845915666
2022-05-02 09:05:33.603,2022-05-02,9,bitcoin,38933.5985504144
2022-05-02 10:02:10.840,2022-05-02,10,bitcoin,38892.74571628568
2022-05-02 11:02:33.062,2022-05-02,11,bitcoin,38750.933744833594
2022-05-02 12:01:02.242,2022-05-02,12,bitcoin,38595.59471663424
2022-05-02 13:01:39.123,2022-05-02,13,bitcoin,38597.44260319727
2022-05-02 14:01:08.632,2022-05-02,14,bitcoin,38968.712386132705
2022-05-02 15:01:19.624,2022-05-02,15,bitcoin,38880.33811447584
2022-05-02 16:01:05.901,2022-05-02,16,bitcoin,38690.893043695825
2022-05-02 17:02:53.788,2022-05-02,17,bitcoin,38627.44644170373
2022-05-02 18:03:01.567,2022-05-02,18,bitcoin,38357.3424567912
2022-05-02 19:01:45.477,2022-05-02,19,bitcoin,38285.70316806331
2022-05-02 20:01:00.584,2022-05-02,20,bitcoin,38534.93226719947
2022-05-02 21:01:32.627,2022-05-02,21,bitcoin,38395.82094239833
2022-05-02 22:02:46.942,2022-05-02,22,bitcoin,38677.85362274444
2022-05-02 23:02:22.921,2022-05-02,23,bitcoin,38631.281997087375
2022-05-03 00:00:42.255,2022-05-03,0,bitcoin,38561.56539902362
2022-05-03 01:02:59.322,2022-05-03,1,bitcoin,38472.14597708616
2022-05-03 02:02:40.686,2022-05-03,2,bitcoin,38511.01957697523
2022-05-03 03:02:27.495,2022-05-03,3,bitcoin,38434.45235923145
2022-05-03 04:01:42.234,2022-05-03,4,bitcoin,38533.608832344915
2022-05-03 05:00:50.175,2022-05-03,5,bitcoin,38527.03059067358
2022-05-03 06:01:21.951,2022-05-03,6,bitcoin,38548.18801964523
2022-05-03 07:01:18.104,2022-05-03,7,bitcoin,38512.541867742686
2022-05-03 08:02:40.240,2022-05-03,8,bitcoin,38593.2796384227
2022-05-03 09:01:29.555,2022-05-03,9,bitcoin,38600.381689201145
2022-05-03 10:01:41.750,2022-05-03,10,bitcoin,38499.49023822234
2022-05-03 11:01:31.086,2022-05-03,11,bitcoin,38456.71638807848
2022-05-03 12:01:46.136,2022-05-03,12,bitcoin,38582.71635605146
2022-05-03 13:03:19.677,2022-05-03,13,bitcoin,38502.65325806351
2022-05-03 14:00:59.832,2022-05-03,14,bitcoin,38405.218729098284
2022-05-03 15:00:12.781,2022-05-03,15,bitcoin,38265.6279420741
2022-05-03 16:00:25.560,2022-05-03,16,bitcoin,38346.618182645456
2022-05-03 17:02:54.283,2022-05-03,17,bitcoin,38216.711074462764
2022-05-03 18:01:52.076,2022-05-03,18,bitcoin,38137.53874043876
2022-05-03 19:01:32.247,2022-05-03,19,bitcoin,37798.806670475926
2022-05-03 20:02:42.846,2022-05-03,20,bitcoin,37817.48872035514
2022-05-03 21:01:03.838,2022-05-03,21,bitcoin,37669.29571650963
2022-05-03 22:01:32.320,2022-05-03,22,bitcoin,37830.12216547759
2022-05-03 23:01:48.779,2022-05-03,23,bitcoin,37837.538217933296
2022-05-04 00:02:43.443,2022-05-04,0,bitcoin,37758.496107734
2022-05-04 01:00:24.758,2022-05-04,1,bitcoin,37957.837710556436
2022-05-04 02:02:45.634,2022-05-04,2,bitcoin,37904.84154810051
2022-05-04 03:01:49.357,2022-05-04,3,bitcoin,38014.632812547636
2022-05-04 04:01:14.447,2022-05-04,4,bitcoin,38064.68258934061
2022-05-04 05:02:05.466,2022-05-04,5,bitcoin,38022.88683563204
2022-05-04 06:00:35.013,2022-05-04,6,bitcoin,38125.167673011376
2022-05-04 07:03:56.582,2022-05-04,7,bitcoin,38428.1559153243
2022-05-04 08:02:56.209,2022-05-04,8,bitcoin,38654.076205602
2022-05-04 09:07:52.770,2022-05-04,9,bitcoin,38967.7413908414
2022-05-04 10:03:59.535,2022-05-04,10,bitcoin,38900.800987870425
